country_iso3,freq,measure,unit_measure,territorial_level,unit_mult,decimals,year,value,obs_status,region_code,region_label
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2020,97984,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2021,60.1,A,EE001F,NA
EE001F,A,GDP,USD_PPP_PS,FUA,0,0,2021,56292,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2021,34311,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2021,334691,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2021,102516,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2022,59.8,A,EE001F,NA
EE001F,A,GDP,USD_PPP_PS,FUA,0,0,2022,55290,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2022,33979,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2022,352614,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2022,96364,A,EE001F,NA
ES002F,A,GDP,PT_NAT,FUA,0,1,2000,12.9,A,ES002F,NA
ES002F,A,GDP,USD_PPP,FUA,6,0,2000,195956,A,ES002F,NA
ES002F,A,EMPW,PS,FUA,0,0,2000,2044084,A,ES002F,NA
ES002F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2000,95865,A,ES002F,NA
ES002F,A,GDP,PT_NAT,FUA,0,1,2001,12.8,A,ES002F,NA
ES002F,A,GDP,USD_PPP,FUA,6,0,2001,202855,A,ES002F,NA
ES002F,A,EMPW,PS,FUA,0,0,2001,2083030,A,ES002F,NA
ES002F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2001,97385,A,ES002F,NA
ES002F,A,GDP,PT_NAT,FUA,0,1,2002,12.7,A,ES002F,NA
ES002F,A,GDP,USD_PPP,FUA,6,0,2002,205914,A,ES002F,NA
ES002F,A,EMPW,PS,FUA,0,0,2002,2086537,A,ES002F,NA
ES002F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2002,98687,A,ES002F,NA
ES002F,A,GDP,PT_NAT,FUA,0,1,2003,12.6,A,ES002F,NA
ES002F,A,GDP,USD_PPP_PS,FUA,0,0,2003,46896,A,ES002F,NA
ES002F,A,GDP,USD_PPP,FUA,6,0,2003,211787,A,ES002F,NA
ES002F,A,EMPW,PS,FUA,0,0,2003,2161183,A,ES002F,NA
ES002F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2003,97996,A,ES002F,NA
ES002F,A,GDP,PT_NAT,FUA,0,1,2004,12.6,A,ES002F,NA
ES002F,A,GDP,USD_PPP_PS,FUA,0,0,2004,47587,A,ES002F,NA
ES002F,A,GDP,USD_PPP,FUA,6,0,2004,217448,A,ES002F,NA
ES002F,A,EMPW,PS,FUA,0,0,2004,2243436,A,ES002F,NA
ES002F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2004,96926,A,ES002F,NA
ES002F,A,GDP,PT_NAT,FUA,0,1,2005,12.6,A,ES002F,NA
ES002F,A,GDP,USD_PPP_PS,FUA,0,0,2005,48561,A,ES002F,NA
ES002F,A,GDP,USD_PPP,FUA,6,0,2005,226429,A,ES002F,NA
ES002F,A,EMPW,PS,FUA,0,0,2005,2348127,A,ES002F,NA
ES002F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2005,96429,A,ES002F,NA
ES002F,A,GDP,PT_NAT,FUA,0,1,2006,12.6,A,ES002F,NA
ES002F,A,GDP,USD_PPP_PS,FUA,0,0,2006,49563,A,ES002F,NA
ES002F,A,GDP,USD_PPP,FUA,6,0,2006,234532,A,ES002F,NA
ES002F,A,EMPW,PS,FUA,0,0,2006,2441640,A,ES002F,NA
ES002F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2006,96055,A,ES002F,NA
ES002F,A,GDP,PT_NAT,FUA,0,1,2007,12.6,A,ES002F,NA
ES002F,A,GDP,USD_PPP_PS,FUA,0,0,2007,51115,A,ES002F,NA
ES002F,A,GDP,USD_PPP,FUA,6,0,2007,242696,A,ES002F,NA
ES002F,A,EMPW,PS,FUA,0,0,2007,2521926,A,ES002F,NA
ES002F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2007,96234,A,ES002F,NA
ES002F,A,GDP,PT_NAT,FUA,0,1,2008,12.5,A,ES002F,NA
ES002F,A,GDP,USD_PPP_PS,FUA,0,0,2008,50465,A,ES002F,NA
ES002F,A,GDP,USD_PPP,FUA,6,0,2008,243151,A,ES002F,NA
ES002F,A,EMPW,PS,FUA,0,0,2008,2521443,A,ES002F,NA
ES002F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2008,96433,A,ES002F,NA
ES002F,A,GDP,PT_NAT,FUA,0,1,2009,12.4,A,ES002F,NA
ES002F,A,GDP,USD_PPP_PS,FUA,0,0,2009,47797,A,ES002F,NA
ES002F,A,GDP,USD_PPP,FUA,6,0,2009,233271,A,ES002F,NA
ES002F,A,EMPW,PS,FUA,0,0,2009,2366185,A,ES002F,NA
ES002F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2009,98585,A,ES002F,NA
ES002F,A,GDP,PT_NAT,FUA,0,1,2010,12.5,A,ES002F,NA
ES002F,A,GDP,USD_PPP_PS,FUA,0,0,2010,47795,A,ES002F,NA
ES002F,A,GDP,USD_PPP,FUA,6,0,2010,234263,A,ES002F,NA
ES002F,A,EMPW,PS,FUA,0,0,2010,2330864,A,ES002F,NA
ES002F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2010,100505,A,ES002F,NA
ES002F,A,GDP,PT_NAT,FUA,0,1,2011,12.4,A,ES002F,NA
ES002F,A,GDP,USD_PPP_PS,FUA,0,0,2011,46995,A,ES002F,NA
ES002F,A,GDP,USD_PPP,FUA,6,0,2011,231101,A,ES002F,NA
ES002F,A,EMPW,PS,FUA,0,0,2011,2266079,A,ES002F,NA
ES002F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2011,101983,A,ES002F,NA
ES002F,A,GDP,PT_NAT,FUA,0,1,2012,12.4,A,ES002F,NA
ES002F,A,GDP,USD_PPP_PS,FUA,0,0,2012,45498,A,ES002F,NA
