city,year,indicator,value,value_interp
Barcelona,2020,kpi_rnd_intensity,NA,NA
Barcelona,2021,kpi_rnd_intensity,NA,NA
Lisbon,2000,kpi_ht_employment_share,NA,NA
Lisbon,2001,kpi_ht_employment_share,NA,NA
Lisbon,2002,kpi_ht_employment_share,NA,NA
Lisbon,2003,kpi_ht_employment_share,NA,NA
Lisbon,2004,kpi_ht_employment_share,NA,NA
Lisbon,2005,kpi_ht_employment_share,NA,NA
Lisbon,2006,kpi_ht_employment_share,NA,NA
Lisbon,2007,kpi_ht_employment_share,NA,NA
Lisbon,2008,kpi_ht_employment_share,0.004934198675478324,0.004934198675478324
Lisbon,2009,kpi_ht_employment_share,0.004879365652612839,0.004879365652612839
Lisbon,2010,kpi_ht_employment_share,0.004797691799681059,0.004797691799681059
Lisbon,2011,kpi_ht_employment_share,0.00485947469791364,0.00485947469791364
Lisbon,2012,kpi_ht_employment_share,0.004902088939285189,0.004902088939285189
Lisbon,2013,kpi_ht_employment_share,0.004999815720899839,0.004999815720899839
Lisbon,2014,kpi_ht_employment_share,0.005266574755093087,0.005266574755093087
Lisbon,2015,kpi_ht_employment_share,0.0053490163182633365,0.0053490163182633365
Lisbon,2016,kpi_ht_employment_share,0.005307983612098457,0.005307983612098457
Lisbon,2017,kpi_ht_employment_share,0.005225205508326792,0.005225205508326792
Lisbon,2018,kpi_ht_employment_share,0.005227741478950083,0.005227741478950083
Lisbon,2019,kpi_ht_employment_share,0.00523573022855129,0.00523573022855129
Lisbon,2020,kpi_ht_employment_share,0.005151507596087017,0.005151507596087017
Lisbon,2021,kpi_ht_employment_share,0.005121281904501694,0.005121281904501694
Lisbon,2000,kpi_ht_patents_per_100kemp,0.055151479674705003,0.055151479674705003
Lisbon,2001,kpi_ht_patents_per_100kemp,0.07938804672312286,0.07938804672312286
Lisbon,2002,kpi_ht_patents_per_100kemp,0.044352638429632205,0.044352638429632205
Lisbon,2003,kpi_ht_patents_per_100kemp,0.13009443700537685,0.13009443700537685
Lisbon,2004,kpi_ht_patents_per_100kemp,0.1509190759357479,0.1509190759357479
Lisbon,2005,kpi_ht_patents_per_100kemp,0.511731929427122,0.511731929427122
Lisbon,2006,kpi_ht_patents_per_100kemp,0.23607965035851483,0.23607965035851483
Lisbon,2007,kpi_ht_patents_per_100kemp,0.3145401934146998,0.3145401934146998
Lisbon,2008,kpi_ht_patents_per_100kemp,0.1811651831584062,0.1811651831584062
Lisbon,2009,kpi_ht_patents_per_100kemp,0.14353264122798245,0.14353264122798245
Lisbon,2010,kpi_ht_patents_per_100kemp,0.08025974824086118,0.08025974824086118
Lisbon,2011,kpi_ht_patents_per_100kemp,0.11672378421224412,0.11672378421224412
Lisbon,2012,kpi_ht_patents_per_100kemp,0.08585782238144649,0.08585782238144649
Lisbon,2013,kpi_ht_patents_per_100kemp,NA,NA
Lisbon,2014,kpi_ht_patents_per_100kemp,NA,NA
Lisbon,2015,kpi_ht_patents_per_100kemp,NA,NA
Lisbon,2016,kpi_ht_patents_per_100kemp,NA,NA
