country_iso3,measure,sex_own,entr_size,transaction_type,unit_measure,prices,unit_mult,country,year,value,obs_status,decimals,region_code
ESP,BANKRUPTCIES,_Z,SME,NEW,GR,_Z,0,ESP,2012,34.91449511,A,2,NA
ESP,VC,_Z,T,_Z,GR,_Z,0,ESP,2012,-19.81308411,A,2,NA
ESP,INTEREST_RATE_SPREAD,_Z,SME,_Z,PD,_Z,0,ESP,2012,2.3,A,2,NA
ESP,BANKRUPTCIES,_Z,SME,NEW,ENT,_Z,0,ESP,2012,6627,A,0,NA
ESP,PAYMENT_DELAYS,_Z,T,_Z,D,_Z,0,ESP,2012,9,A,0,NA
ESP,LOAN,_Z,T,NEW,EUR,V,9,ESP,2012,485,A,1,NA
ESP,LOAN,_Z,T,OUTSTANDING,EUR,V,9,ESP,2012,707.945,A,1,NA
ESP,LOAN,_Z,SME,NEW,EUR,V,9,ESP,2012,146,A,1,NA
ESP,VC,_Z,T,_Z,EUR,V,9,ESP,2012,2145,A,1,NA
ESP,LOAN_ST,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2012,139,A,1,NA
ESP,LOAN_LT,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2012,7,A,1,NA
ESP,LOAN_GOV_GUARANTEED,_Z,SME,_Z,EUR,V,6,ESP,2012,4974,A,1,NA
ESP,LOAN_GOV_DIRECT,_Z,SME,_Z,EUR,V,6,ESP,2012,23599,A,1,NA
ESP,LOAN_GOV_GUARANTEES,_Z,SME,_Z,EUR,V,6,ESP,2012,11000,A,1,NA
ESP,LOAN,_Z,SME,NEW,PT_ENT,_Z,0,ESP,2013,34.09669211,A,2,NA
ESP,NPL,_Z,T,OUTSTANDING,PT_ENT,_Z,0,ESP,2013,13.62,A,2,NA
ESP,LOAN_ST,_Z,T,OUTSTANDING,PT_ENT,_Z,0,ESP,2013,93.33333333,A,2,NA
ESP,LOAN_APPLICATIONS,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2013,31.49,A,2,NA
ESP,LOAN_COLLATERAL,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2013,30,A,2,NA
ESP,LOAN_REJECTION,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2013,12.85,A,2,NA
ESP,INTEREST_RATE,_Z,LRG,_Z,PA,_Z,0,ESP,2013,2.69,A,2,NA
ESP,INTEREST_RATE,_Z,SME,_Z,PA,_Z,0,ESP,2013,4.79,A,2,NA
ESP,BANKRUPTCIES,_Z,SME,NEW,GR,_Z,0,ESP,2013,13.42990795,A,2,NA
ESP,VC,_Z,T,_Z,GR,_Z,0,ESP,2013,-31.32867133,A,2,NA
ESP,INTEREST_RATE_SPREAD,_Z,SME,_Z,PD,_Z,0,ESP,2013,2.1,A,2,NA
ESP,BANKRUPTCIES,_Z,SME,NEW,ENT,_Z,0,ESP,2013,7517,A,0,NA
ESP,PAYMENT_DELAYS,_Z,T,_Z,D,_Z,0,ESP,2013,16,A,0,NA
ESP,LOAN,_Z,T,NEW,EUR,V,9,ESP,2013,393,A,1,NA
ESP,LOAN,_Z,T,OUTSTANDING,EUR,V,9,ESP,2013,608.898,A,1,NA
ESP,LOAN,_Z,SME,NEW,EUR,V,9,ESP,2013,134,A,1,NA
ESP,VC,_Z,T,_Z,EUR,V,9,ESP,2013,1473,A,1,NA
ESP,LOAN_ST,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2013,126,A,1,NA
ESP,LOAN_LT,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2013,9,A,1,NA
ESP,LOAN_GOV_GUARANTEED,_Z,SME,_Z,EUR,V,6,ESP,2013,2064,A,1,NA
ESP,LOAN_GOV_DIRECT,_Z,SME,_Z,EUR,V,6,ESP,2013,23648,A,1,NA
ESP,LOAN_GOV_GUARANTEES,_Z,SME,_Z,EUR,V,6,ESP,2013,13000,A,1,NA
ESP,LOAN,_Z,SME,OUTSTANDING,PT_ENT,_Z,0,ESP,2014,53.79285528,A,2,NA
ESP,LOAN,_Z,SME,NEW,PT_ENT,_Z,0,ESP,2014,41.17647059,A,2,NA
ESP,NPL,_Z,T,OUTSTANDING,PT_ENT,_Z,0,ESP,2014,12.51,A,2,NA
ESP,LOAN_ST,_Z,T,OUTSTANDING,PT_ENT,_Z,0,ESP,2014,92.46575342,A,2,NA
ESP,LOAN_APPLICATIONS,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2014,34.36,A,2,NA
ESP,LOAN_COLLATERAL,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2014,31.22,A,2,NA
ESP,LOAN_REJECTION,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2014,9.77,A,2,NA
ESP,INTEREST_RATE,_Z,LRG,_Z,PA,_Z,0,ESP,2014,1.99,A,2,NA
ESP,INTEREST_RATE,_Z,SME,_Z,PA,_Z,0,ESP,2014,3.86,A,2,NA
