city,year,eu_funding,funds_pc,funding_geo,funding_method
Barcelona,2012,597241276,NA,ES51,proxy
Barcelona,2013,271635997,NA,ES51,proxy
Barcelona,2014,245769485,NA,ES51,proxy
Barcelona,2015,258829366,NA,ES51,proxy
Barcelona,2016,345230723,NA,ES51,proxy
Barcelona,2017,235659744,NA,ES51,proxy
Barcelona,2018,467880902,NA,ES51,proxy
Barcelona,2019,323485541,NA,ES51,proxy
Barcelona,2020,345677373,NA,ES51,proxy
Barcelona,2021,976277973,NA,ES51,proxy
Barcelona,2022,811705931,NA,ES51,proxy
Lisbon,1987,2893845,NA,PT17,direct
Lisbon,1988,5128433,NA,PT17,direct
Lisbon,1989,39632695,NA,PT17,direct
Lisbon,1990,84015792,NA,PT17,direct
Lisbon,1991,62403452,NA,PT17,direct
Lisbon,1992,453722729,NA,PT17,direct
Lisbon,1993,414231245,NA,PT17,direct
Lisbon,1994,451044772,NA,PT17,direct
Lisbon,1995,568779294,NA,PT17,direct
Lisbon,1996,585159868,NA,PT17,direct
Lisbon,1997,556293567,NA,PT17,direct
Lisbon,1998,495942670,NA,PT17,direct
Lisbon,1999,537539996,NA,PT17,direct
Lisbon,2000,329034560,NA,PT17,direct
Lisbon,2001,291499772,NA,PT17,direct
Lisbon,2002,437982191,NA,PT17,direct
Lisbon,2003,621316810,NA,PT17,direct
Lisbon,2004,505969033,NA,PT17,direct
Lisbon,2005,444038973,NA,PT17,direct
Lisbon,2006,352502724,NA,PT17,direct
Lisbon,2007,371446375,NA,PT17,direct
Lisbon,2008,259269986,NA,PT17,direct
Lisbon,2009,144170248,NA,PT17,direct
Lisbon,2010,295463885,NA,PT17,direct
Lisbon,2011,270853645,NA,PT17,direct
Lisbon,2012,300097946,NA,PT17,direct
Lisbon,2013,280156676,NA,PT17,direct
Lisbon,2014,176912142,NA,PT17,direct
Lisbon,2015,131607765,NA,PT17,direct
Lisbon,2016,172090386,NA,PT17,direct
Lisbon,2017,325267853,NA,PT17,direct
Lisbon,2018,360724839,NA,PT17,direct
Lisbon,2019,372727441,NA,PT17,direct
Lisbon,2020,443697595,NA,PT17,direct
Lisbon,2021,697220933,NA,PT17,direct
Lisbon,2022,574888117,NA,PT17,direct
Tallinn,2000,0,NA,EE00,proxy
Tallinn,2001,7924614,NA,EE00,proxy
Tallinn,2002,9784178,NA,EE00,proxy
Tallinn,2003,15565543,NA,EE00,proxy
Tallinn,2004,60154973,NA,EE00,proxy
Tallinn,2005,98332569,NA,EE00,proxy
Tallinn,2006,154476057,NA,EE00,proxy
Tallinn,2007,234084330,NA,EE00,proxy
Tallinn,2008,288788838,NA,EE00,proxy
Tallinn,2009,598344486,NA,EE00,proxy
Tallinn,2010,662345693,NA,EE00,proxy
Tallinn,2011,383284826,NA,EE00,proxy
Tallinn,2012,802698254,NA,EE00,proxy
Tallinn,2013,805161788,NA,EE00,proxy
Tallinn,2014,479252347,NA,EE00,proxy
Tallinn,2015,142882757,NA,EE00,proxy
Tallinn,2016,319293568,NA,EE00,proxy
Tallinn,2017,391724810,NA,EE00,proxy
Tallinn,2018,576475164,NA,EE00,proxy
Tallinn,2019,792235328,NA,EE00,proxy
Tallinn,2020,646087437,NA,EE00,proxy
Tallinn,2021,690858285,NA,EE00,proxy
Tallinn,2022,659741040,NA,EE00,proxy
